page_id,page_namespace,page_title,page_restrictions,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
1,0,April,,0,0,0.778582929065,20200122122952,20200122123017,6751420,21808,wikitext,
2,0,August,,0,0,0.123830928525,20200203150938,20200203151244,6742527,13096,wikitext,
3,2,Angela,edit=autoconfirmed:move=autoconfirmed,0,0,0.851943655802,20170814003040,,1207184,982,wikitext,
4,3,Angela,move=sysop,0,0,0.0888320259232,20180502173055,20180420170745,6029103,2272,wikitext,
5,2,Anthere,,0,0,0.921240379532,20160824111128,,36363,234,wikitext,
6,0,Art,,0,0,0.318740796912,20200221100028,20200221100027,6771298,7845,wikitext,
8,0,A,,0,0,0.124816980737,20200215000552,20200215000603,6752301,2942,wikitext,
9,0,Air,,0,0,0.310179459076,20200225213218,20200225213219,6839178,2325,wikitext,
11,4,Administrators,,0,0,0.0128889214307,20200212235751,20200212235750,6817063,12887,wikitext,
12,0,Autonomous_communities_of_Spain,,0,0,0.265801862472,20200223065553,20200223065552,6469600,2787,wikitext,
13,0,Alan_Turing,,0,0,0.549905321351,20200221183629,20200221183629,6743148,9214,wikitext,
14,0,Alanis_Morissette,,0,0,0.505936598175,20200226084713,20200203151244,6486123,8558,wikitext,
17,0,Adobe_Illustrator,,0,0,0.280899836813,20200221161550,20200211200624,6525956,2526,wikitext,
18,0,Andouille,,0,0,0.190915693152,20191110202204,20191110202238,6477363,940,wikitext,
19,0,Farming,,0,0,0.114387247299,20200215112353,20200215112353,6819628,6286,wikitext,
20,3,Anthere,,0,0,0.907064614309,20120621135454,,36376,9249,wikitext,
21,0,Arithmetic,,0,0,0.34255545416,20200212131516,20200212131550,6812017,1681,wikitext,
22,0,Addition,,0,0,0.479915988389,20200220182702,20200220182735,6520048,3556,wikitext,
24,0,Albigensian,,1,0,0.00928442879081,20190323113809,,973365,23,wikitext,
27,0,Australia,,0,0,0.409006163203,20200224121902,20200224122019,6836382,40069,wikitext,
28,0,American_English,,0,0,0.704226610113,20191022191708,20191022192248,6393062,4042,wikitext,
29,1,Farming,,0,0,0.151973422687,20181007160959,20190514160101,6272639,5740,wikitext,
30,0,Aquaculture,,0,0,0.667642163424,20190122023318,20190122023318,6393787,1170,wikitext,
32,0,Abbreviation,,0,0,0.259508099062,20190730104120,20190730104121,6542617,1816,wikitext,
33,0,Angel,,0,0,0.346616763317,20200224060424,20200224060423,6466854,5671,wikitext,
34,3,Angela/Archive1,,0,0,0.240768437852,20200214141730,20170615043416,5709189,61498,wikitext,
35,0,Ad_hominem,,0,0,0.135713032044,20200206000351,20200206000553,6383125,2000,wikitext,
37,0,Native_American,,0,0,0.0671373261451,20200225114550,20200225120343,6782101,5723,wikitext,
38,1,Native_American,,0,0,0.0972560109092,20191015125651,20191015125651,6691274,2316,wikitext,
39,0,Apple,,0,0,0.286043162591,20200218170647,20200218171047,6820809,12834,wikitext,
40,1,Australia,,0,0,0.51372256247,20190305164442,20190514160101,5741913,5943,wikitext,
41,0,American_Units_Of_Measurement,,1,0,0.0368188261226,20200222182841,20140115071155,4691442,43,wikitext,
43,0,Abrahamic_religion,,0,0,0.703211847089,20200130131301,20200130131301,6801571,1284,wikitext,
44,1,Abrahamic_religion,,0,0,0.655448497578,20180624204728,,2460896,4597,wikitext,
45,0,Algebra,,0,0,0.57685337196,20200223123842,20200223123955,6836395,13838,wikitext,
46,0,As,,1,0,0.0344438813787,20160705071025,,3763209,16,wikitext,
47,0,Atom,,0,0,0.167034091971,20200211075738,20200203151244,6793903,18885,wikitext,
48,0,Astronomy,,0,0,0.813287089026,20200207192704,20200207192720,6811709,16509,wikitext,
49,0,Architecture,,0,0,0.486071632004,20200215093347,20200215093350,6819561,6750,wikitext,
50,0,Anatomy,,0,0,0.516234949937,20200218170647,20200218171046,6545992,2242,wikitext,
51,0,Asteroid,,0,0,0.38826891472,20191228062917,20191228062916,6486359,2147,wikitext,
52,0,Afghanistan,,0,0,0.0465666838207,20200218134807,20200218141111,6788108,48028,wikitext,
53,0,Angola,,0,0,0.4829656172,20200218170647,20200218171047,6788333,8246,wikitext,
54,0,Argentina,,0,0,0.943764520317,20200224121902,20200224122019,6788394,18151,wikitext,
55,0,Austria,,0,0,0.586237137013,20200218134807,20200218141111,6810474,13141,wikitext,
56,0,Armenia,,0,0,0.996108775957,20200221004542,20200221004700,6815222,13146,wikitext,
57,0,Archaeology,,0,0,0.810937690461,20200218170647,20200218170958,6694073,6253,wikitext,
58,0,Application,,0,0,0.500075965421,20191218130923,20191218131135,5436927,938,wikitext,
60,2,Abel~simplewiki,,0,0,0.672748848644,20150418221544,20150418221544,5082392,30,wikitext,
61,0,Animalia,,1,0,0.290761119821,20200221182632,,4530806,20,wikitext,
62,0,Animal,,0,0,0.18375024534,20200221182632,20200221182631,6834914,6644,wikitext,
63,0,Acceleration,,0,0,0.655422209136,20200109194250,20200109194250,6770808,3877,wikitext,
66,4,Basic_English_alphabetical_wordlist,edit=autoconfirmed:move=autoconfirmed,0,0,0.124691254517,20200204210808,20190821224140,5845796,15461,wikitext,
67,4,Basic_English_international_wordlist,,0,0,0.0216333805684,20190305164442,20190313183209,4830524,4035,wikitext,
68,0,Black_pudding,,0,0,0.800321378186,20191118132450,20191118132450,6723326,1300,wikitext,
69,0,Boot_device,,0,0,0.649464079481,20180610084052,20200119224127,6149846,1649,wikitext,
70,0,Boot,,0,0,0.314690402855,20200212093711,20200212093711,6816304,2075,wikitext,
71,0,Bankruptcy,,0,0,0.252763952246,20200203150938,20200203151244,6645276,7020,wikitext,
73,3,Bdesham,,0,0,0.57204604548,20120428213622,,494310,173,wikitext,
74,0,Breakfast_sausage,,0,0,0.462542156439,20191129162201,20191129162201,6733834,1468,wikitext,
75,1,Basic_English,,0,0,0.250227745739,20180608120145,20190514160102,6147065,13051,wikitext,
76,0,Browser,,0,0,0.99101130012,20191227120719,20191227120723,4614183,336,wikitext,
